166.73 -45.04 15 2.23 -0.15 -2.08 0.21 -2.21 -1.15 26 X Y 081093A 7.0
178.06 -38.46 15 0.09 -0.11 0.02 2.88 1.51 3.28 25 X Y 081093D 6.4
166.93 -44.34 15 1.80 1.08 -2.87 0.86 -1.09 -1.15 24 X Y 081193B 5.6
166.61 -45.35 15 -0.78 1.15 -0.38 0.00 0.00 -6.94 23 X Y 081193G 5.2
164.19 -49.16 26 0.76 0.61 -1.37 0.92 -0.15 0.25 25 X Y 010394C 6.1
171.47 -42.94 15 0.71 0.27 -0.98 0.39 -0.26 -1.09 26 X Y 061894B 6.7
171.54 -43.24 15 1.05 1.51 -2.55 1.97 0.50 -6.92 24 X Y 061994D 5.9
171.81 -43.38 15 0.47 0.37 -0.85 0.87 0.28 -1.02 24 X Y 062194A 5.4
174.17 -40.89 90 1.49 -3.35 1.86 -2.06 4.38 -3.23 24 X Y 032295E 5.9
171.80 -43.47 15 -0.20 1.93 -1.73 0.88 -0.47 -0.64 24 X Y 052995E 5.6
174.22 -39.46 216 1.92 0.25 -2.16 4.22 -2.89 1.18 24 X Y 091995F 5.8
171.76 -42.88 15 0.47 0.61 -1.08 0.80 0.15 -1.32 25 X Y 112495A 6.1
177.63 -38.26 33 2.39 -1.91 -0.48 -1.55 1.96 0.04 23 X Y 062796A 5.0
172.90 -42.41 31 -2.32 8.41 -6.09 -0.87 -3.36 -1.67 23 X Y 082996A 5.3
174.86 -38.76 216 2.62 6.83 -9.45 6.00 -7.36 -4.12 23 X Y 092596D 5.4
165.96 -47.43 33 -5.25 4.90 0.35 -1.17 -3.63 -4.40 23 X Y 052697A 5.2
173.34 -41.19 79 1.83 4.28 -6.11 1.40 5.19 2.04 23 X Y 112997E 5.2
165.14 -47.48 15 3.75 0.44 -4.20 -1.80 -5.79 -0.77 24 X Y 012698E 5.9
169.62 -43.80 15 -1.99 5.72 -3.73 2.54 -7.32 -9.80 23 X Y 102098B 5.4
173.40 -41.28 60 -3.19 0.73 2.47 3.95 5.85 -0.12 23 X Y 010399A 5.2
175.29 -38.47 276 -3.98 2.04 1.94 2.19 -0.99 -1.71 24 X Y 051899E 5.7
175.78 -38.49 158 5.84 3.24 -9.09 9.52 -0.92 -2.24 24 X Y 102599F 6.1
164.01 -49.13 15 1.01 0.82 -1.83 1.67 0.01 0.34 24 X Y 030700B 5.6
175.47 -40.93 46 -3.26 1.67 1.59 4.68 5.72 2.61 23 X Y 032900C 5.3
176.09 -38.88 68 0.77 4.05 -4.82 8.24 -3.35 0.30 23 X Y 080800B 5.3
166.70 -45.02 20 1.10 0.40 -1.49 0.43 -0.79 -0.33 25 X Y 110100B 6.1
167.23 -45.01 15 7.76 -2.62 -5.14 -3.95 -9.48 -4.65 23 X Y 111200C 5.4
178.90 -38.03 46 -6.23 -0.57 6.80 4.03 6.48 3.83 23 X Y 123100D 5.3
175.40 -38.41 248 0.50 0.78 -1.28 0.78 -0.55 -0.72 24 X Y 052401E 5.5
176.33 -40.08 27 0.88 -0.76 -0.12 6.31 9.80 0.62 23 X Y 092401A 5.4
176.76 -39.70 17 0.49 0.14 -0.63 0.78 2.10 -0.34 24 X Y 101501B 5.5
168.55 -44.13 15 4.23 0.11 -4.34 0.05 -2.43 -2.50 24 X Y 120701H 5.8
168.42 -44.10 15 0.14 0.93 -1.07 -0.09 -1.16 -0.75 24 X Y 022402C 5.4
179.01 -40.13 24 -2.71 -0.19 2.89 -0.24 3.79 2.30 23 X Y 062502C 5.1
176.13 -40.44 38 -4.96 1.74 3.22 0.84 -2.12 6.03 23 X Y 012503B 5.3
176.07 -40.60 55 -4.87 2.92 1.95 -1.95 -3.13 2.41 23 X Y 080303D 5.2
166.87 -45.01 32 4.99 -1.07 -3.92 -2.49 -4.64 -2.80 26 X Y 082103D 7.2
166.46 -45.37 18 1.47 -0.09 -1.38 -0.04 -0.67 -0.81 24 X Y 082603F 5.4
166.68 -45.14 27 1.40 -0.39 -1.01 0.78 1.11 -0.90 24 X Y 090403E 5.5
166.59 -44.90 40 -0.22 2.92 -2.70 -0.48 -0.28 -0.90 23 X Y 091103A 5.0
164.26 -49.02 33 2.61 2.27 -4.87 1.35 -1.14 0.82 23 X Y 091603A 5.0
