ice_age (ka), temperature (degrees C), CO2 (ppmv), CH4 (ppbv)
128.04, -54.925, 272.11, 577.37
128.74, -54.6783, 274.16, 584
129.44, -55.0117, 273.23, 585.04
130.15, -54.7217, 270.22, 586.6
130.86, -53.8433, 267.22, 594.07
131.57, -53.09, 269.27, 601.54
132.29, -53.3583, 272.92, 609.02
133.01, -52.33, 273.44, 616.49
133.74, -53.585, 269.81, 629.03
134.47, -55.6483, 266.18, 646.08
135.24, -53.9067, 277.41, 649.35
136, -55.035, 289.42, 693.41
136.8, -55.9433, 291.71, 600.31
137.64, -57.925, 280.02, 532.7
138.49, -58.29, 268.34, 527.77
139.43, -59.5067, 260, 509.61
140.4, -61.1133, 252.5, 483.99
141.39, -62.845, 245, 458.38
142.49, -63.3067, 237.51, 445.28
143.61, -63.055, 230.31, 435.5
144.89, -64.95, 225.05, 419.71
146.18, -64.8983, 219.79, 398.54
147.58, -63.915, 211.62, 352.91
149.11, -64.1667, 200.16, 363.05
150.67, -63.9183, 191.69, 369.66
152.35, -64.7883, 195.12, 337.2
154.02, -63.9667, 198.55, 318.25
155.7, -64.6783, 198.89, 318.94
157.38, -64.18, 195.15, 339.4
159.05, -64.9233, 191.41, 348.54
160.73, -64.2083, 192.8, 353.25
